DataSize(Bytes),Pageable_H2D(MB/s),Pageable_D2H(MB/s),Pinned_H2D(MB/s),Pinned_D2H(MB/s),Mapped_H2D(MB/s),Mapped_D2H(MB/s)
89088,3402.79,2013.67,4833.92,5275.77,3805.13,6773.03
89600,3840.76,2043.07,4857.28,4875.01,3298.69,6807.62
90112,3866.88,2073.38,4893.94,4761.61,3904.83,6722.27
90624,3793.27,2003.19,4729.96,4915.02,3870.74,6660.43
91136,2402,2015.63,4988.18,5266.24,4095.08,6790.16
91648,3709.78,2076.66,4855.69,4979.62,3864.62,6815.53
92160,3876.62,2088.26,4915.58,5028.07,3957.61,6866.46
92672,3854.63,2056.47,4938.47,5388.96,3928.65,6773.37
93184,3859.76,2070.53,5019.61,5338.01,3893.58,6806.62
93696,3913.61,2113.42,5040.36,5398.47,3801.71,6712.4
94208,3996.61,2074.72,4978.04,4203.02,3953,6749.08
94720,3903.04,2116.89,5068,5193.88,3945.32,6785.76
95232,3968.03,2137.15,5120.68,5118.37,3959.73,6793.86
95744,4044.5,2144.2,5102.18,5180.92,4020.28,6729.7
96256,3873.94,2177.76,5068.29,5180.41,4009.3,6862.8
96768,4043.34,2121.3,5061.71,5182.23,3983.3,6683.46
97280,4003,2190.95,5088.5,5160.96,3929.75,6817.57
97792,4069.01,2162.84,5101.84,5007.61,4021.29,6746.36
98304,4043.74,2191.24,5336.41,5231.58,4071.84,6781.68
98816,4090.2,2173.79,5114.97,5184.76,4056.4,6824.9
99328,4050.91,2205.41,5188.79,5279.01,4034.35,6852.33
99840,4134.02,2224.65,5210.97,5320.45,4075.98,6875.71
100352,4087.08,2220.28,5099.27,5230.82,4095.48,6887.1
100864,4063.51,2151.74,5223.25,5308.58,3073.6,6831.78
101376,4102.16,2258.45,5397.48,5247.49,4054,6743.84
101888,4047.32,2229.03,5315.53,5310.89,4019.19,6777.9
102400,4130.98,2276.16,5248.08,5387.04,4115.65,6692.45
102912,4103.03,2157.21,5079.94,5308.55,4140.42,6811.81
103424,4064.99,2268.46,5307.4,5383.89,4135.89,6642.83
103936,4037.19,2160.82,5329.09,5415.27,4082.42,6704.62
104448,2983.75,2213.54,5355.34,5437.19,4099.83,6683.4
104960,4193.1,2326.12,5263.87,5428.29,4076.97,6741.49
105472,3958.83,2369.63,5345.77,5461.88,4144.11,6705.73
105984,4355.15,2332.34,5281.89,5519.56,4198.83,6695.43
106496,4460.76,2347.07,5500.57,5479.2,4250.19,6724.21
107008,4230.96,2358.79,5412.11,5580.2,4109.65,6756.54
107520,4219.02,2309.02,5435.7,5501.02,4153.4,6675.72
108032,4215.52,2289.5,5174.13,5470.87,4181.3,6679.68
108544,4223.06,2356.48,5391.44,5496.79,3983.82,6842.65
109056,4273.66,2384.1,5506.35,5565.28,4127.14,6663.5
109568,4261.51,2167.53,5449.11,5017.87,4157.07,6691.35
110080,4165.89,2180.91,5470.01,5502.12,3989.83,6722.62
110592,4183.94,2225.45,5284.01,5672.8,4225.51,6753.89
111104,4428.16,2241.43,5626.44,5689.27,4265.58,6764.37
111616,4496.68,2280.71,5657.17,5969.34,4300.47,6802.49
112128,4520.36,2272.48,5628.08,5666.26,4280.08,6737.25
112640,4550.23,2240.94,5682.49,5718.8,4253.32,6744.22
113152,4467.96,2466.86,5578.48,5674.7,4335.83,6798.77
113664,4585.38,2438.33,5681.26,5690.8,4293.35,6815.8
114176,4530.91,2449.76,5638.29,5750.25,4300.42,6751.41
114688,4509.19,2325.15,5725.24,5715.67,4377.8,6688.78
115200,4418.57,2197.97,5419.46,5848.77,4276.83,6731.82
115712,4553.96,2344.31,5749.87,5704.69,4341.81,6818.56
116224,4547.09,2332.49,5689.93,5828.77,4376.18,6765.13
116736,4316.38,2369.09,5779.08,5993.12,4399.63,6729.21
117248,4594.69,2325.25,5790,5799.61,4367.83,6824.73
117760,4614.76,2385.4,5741.55,5881.06,4348.85,6851.19
118272,4790.73,2376.39,5505.32,5719.72,4344.88,6710.67
118784,4627.5,2390.71,5800.97,5885.35,4394.83,6807.77
119296,4639.87,2313.14,5821.2,5720.51,4252.75,6827.26
119808,4345.06,2202.35,5740.44,5899.31,4234.28,6733.72
120320,4691.94,2269.5,5818.77,5859.18,4395.73,6791.32
120832,4434.82,2540.44,5917.95,4780.72,4281.9,6640.99
121344,4358.34,2443.88,5856.41,5930.85,4359.65,6746.89
121856,4701.09,2574.68,5921.88,6137.04,4376.73,6675.72
122368,4757.8,2521.59,5865.46,5968.66,4413.74,6700.69
122880,4590.55,2507.01,5894.74,5952.23,4404.22,6655.36
123392,4786.68,2461.01,6219.65,5989.2,4404.03,6825.74
123904,4607.15,2342.67,5955.85,5987.23,4423.63,6803.55
124416,4510.81,2333.47,6182.39,5958.84,4448.57,6815.97
124928,4573.89,2368.79,5954.65,6017.2,4469.56,6781.68
125440,4826.86,2387.99,6309.54,6010.29,4477.13,6772.47
125952,4565.11,2413.54,5977.17,6046.98,4452.74,6893.78
126464,4650.12,2422.57,6196.34,5994.31,4448.42,6827.75
126976,4510.35,2511.48,6030.57,6047.43,4507.66,6778.65
127488,4687.77,2551.24,6396.36,6086.41,4500.37,6876.81
128000,4710.96,2507.61,6005.03,6014.5,4333.65,6888.84
128512,4590.9,2532.62,6346.24,6120.58,4523.12,6839.21
129024,4693.58,2393.54,6038.81,6162.2,4546.51,6790.67
129536,4648.37,2385.59,6062.78,6081.88,4548.42,6884.48
130048,4680.84,2398.35,6120.38,6089.13,4511.91,6823.47
130560,4680.89,2390.78,6039.57,6161.51,4554.86,6886.71
131072,4716.27,2390.24,6103.52,6139.49,4571.39,6956.81
131584,4751.9,2445.21,6089.3,6209.83,4721.87,6931.52
132096,4730.27,2437.25,6170.48,6175.32,4604.41,6924.83
132608,4793.24,2428.28,6148.62,6216.32,4610.12,6951.67
133120,4725.77,2441.78,5857.93,6206.16,4667.39,6887.65
133632,4817.11,2417.69,6179.28,6208.17,4626.83,7008.44
134144,4728.33,2469.3,6155.2,6219.84,4663.52,6940.63
134656,4821.94,2357.5,6136.18,6162.09,4587.67,6967.12
135168,4871,2572.36,6171.31,6176.04,4446.27,6900.76
135680,4955.37,2602.46,6178.12,6259.41,4637.13,6950.72
136192,4792.02,2635.61,6249.17,6422.21,4669.36,6950.06
136704,4838.59,2609.09,6149.58,6279.92,4653.45,7003.17
137216,4869.73,2622.64,6248.06,6291.32,4650.96,6913.53
137728,4840.35,2564.58,6266.59,6302.67,4707.13,6998.49
138240,4908.99,2523.66,6328.53,6328.53,4688.33,6965.13
138752,4896.54,2532.23,6286.78,6334.94,4715.09,7077.68
139264,4898.66,2541.57,6250.59,6314.78,4778.8,6987.19
139776,4696.34,2489.18,6313.98,6379.25,4755.31,7111.65
140288,4914.38,2486.79,6233.18,6407.52,4780.91,7062.34
140800,4927.97,2530.86,6317.15,6372.31,4769.73,7019.94
141312,4944.44,2676.9,6330.59,6402.78,4768.1,7081
141824,5025.78,2733.51,6367.89,6452.95,4727.83,7062.13
142336,4971.51,2765.73,6371.68,6412.61,4763.55,6976.88
142848,5018.81,2651.64,6438.11,6430.82,4592.45,6984.75
143360,4992.65,2598.43,6405.49,6446.56,4815.4,7027.07
143872,5032.53,2525.9,6423.55,6479.37,4797.45,7052.17
144384,5048.96,2611.43,6448.82,6509.8,4793.07,7077.27
144896,5037.31,2606.84,6376.14,6493.59,4715.52,7125.8
145408,4948.33,2673.76,6417.62,6492.13,4827.06,7127.46
