,block_id,thread_id,coordinate,value
239,"(00,00)","(15,27)","(15,27)",1743
47,"(00,00)","(15,28)","(15,28)",1807
463,"(00,00)","(15,29)","(15,29)",1871
1327,"(00,00)","(15,30)","(15,30)",1935
175,"(00,00)","(15,31)","(15,31)",1999
4048,"(00,00)","(16,00)","(16,00)",16
3792,"(00,00)","(16,01)","(16,01)",80
4016,"(00,00)","(16,02)","(16,02)",144
2032,"(00,00)","(16,03)","(16,03)",208
3472,"(00,00)","(16,04)","(16,04)",272
3728,"(00,00)","(16,05)","(16,05)",336
3984,"(00,00)","(16,06)","(16,06)",400
2000,"(00,00)","(16,07)","(16,07)",464
2704,"(00,00)","(16,08)","(16,08)",528
3696,"(00,00)","(16,09)","(16,09)",592
3248,"(00,00)","(16,10)","(16,10)",656
1968,"(00,00)","(16,11)","(16,11)",720
2448,"(00,00)","(16,12)","(16,12)",784
2992,"(00,00)","(16,13)","(16,13)",848
2416,"(00,00)","(16,14)","(16,14)",912
1072,"(00,00)","(16,15)","(16,15)",976
2256,"(00,00)","(16,16)","(16,16)",1040
2928,"(00,00)","(16,17)","(16,17)",1104
2160,"(00,00)","(16,18)","(16,18)",1168
1104,"(00,00)","(16,19)","(16,19)",1232
1040,"(00,00)","(16,20)","(16,20)",1296
1776,"(00,00)","(16,21)","(16,21)",1360
1456,"(00,00)","(16,22)","(16,22)",1424
848,"(00,00)","(16,23)","(16,23)",1488
1136,"(00,00)","(16,24)","(16,24)",1552
1680,"(00,00)","(16,25)","(16,25)",1616
336,"(00,00)","(16,26)","(16,26)",1680
240,"(00,00)","(16,27)","(16,27)",1744
48,"(00,00)","(16,28)","(16,28)",1808
464,"(00,00)","(16,29)","(16,29)",1872
1328,"(00,00)","(16,30)","(16,30)",1936
176,"(00,00)","(16,31)","(16,31)",2000
4049,"(00,00)","(17,00)","(17,00)",17
3793,"(00,00)","(17,01)","(17,01)",81
4017,"(00,00)","(17,02)","(17,02)",145
2033,"(00,00)","(17,03)","(17,03)",209
3473,"(00,00)","(17,04)","(17,04)",273
3729,"(00,00)","(17,05)","(17,05)",337
3985,"(00,00)","(17,06)","(17,06)",401
2001,"(00,00)","(17,07)","(17,07)",465
2705,"(00,00)","(17,08)","(17,08)",529
3697,"(00,00)","(17,09)","(17,09)",593
3249,"(00,00)","(17,10)","(17,10)",657
1969,"(00,00)","(17,11)","(17,11)",721
2449,"(00,00)","(17,12)","(17,12)",785
2993,"(00,00)","(17,13)","(17,13)",849
2417,"(00,00)","(17,14)","(17,14)",913
1073,"(00,00)","(17,15)","(17,15)",977
2257,"(00,00)","(17,16)","(17,16)",1041
2929,"(00,00)","(17,17)","(17,17)",1105
2161,"(00,00)","(17,18)","(17,18)",1169
1105,"(00,00)","(17,19)","(17,19)",1233
1041,"(00,00)","(17,20)","(17,20)",1297
1777,"(00,00)","(17,21)","(17,21)",1361
1457,"(00,00)","(17,22)","(17,22)",1425
849,"(00,00)","(17,23)","(17,23)",1489
1137,"(00,00)","(17,24)","(17,24)",1553
1681,"(00,00)","(17,25)","(17,25)",1617
337,"(00,00)","(17,26)","(17,26)",1681
241,"(00,00)","(17,27)","(17,27)",1745
49,"(00,00)","(17,28)","(17,28)",1809
